"Restaurant Name","Address","City","State","Zipcode","Doordash ID","Contains images on Doordash","Reviews","Is it in the Woflow table","Is it in our database(DB)?","If in our DB, is it flagged?","If in our DB, does it have 3+ images?","If in our DB, how many ratings?"
"Ping Yang Thai Grill and Dessert","955 Larkin Street","San Francisco","CA","94109","ping-yang-thai-grill-and-dessert-san-francisco-447516","Yes","41","No","ping-yang-thai-grill--dessert-san-francisco-959","No","Yes","4.7"
"Hamburger Mary's","531 Castro Street","San Francisco","CA","94114","hamburger-mary-s-san-francisco-293698","Yes","27","No",""
"LA Breakfast Club","60 Morris Street","San Francisco","CA","94107","la-breakfast-club-san-francisco-632641","Yes","0","No",""
"The Willows","1582 Folsom Street","San Francisco","CA","94103","the-willows-san-francisco-130664","Yes","363","No","the-willows-san-francisco-153","No","Yes","4.5"
"RakiRaki","3282 Mission Street","San Francisco","CA","94110","rakiraki-ramen-tsukemen-san-francisco-518072","Yes","21","No",""
"Kui Shin Bo Japanese Restaurant","1424 Lombard Street","San Francisco","CA","94123","kui-shin-bo-japanese-restaurant-san-francisco-564361","Yes","1","No",""
"Sutter Pub & Restaurant","700 Sutter Street","San Francisco","CA","94109","sutter-pub-restaurant-san-francisco-297381","Yes","26","No",""
"Zaytoon Mediterranean","607 Divisadero Street","San Francisco","CA","94117","zaytoon-mediterranean-wraps-san-francisco-297373","Yes","49","No",""
"Richmond Republic Draught House","642 Clement Street","San Francisco","CA","94118","richmond-republic-draught-house-san-francisco-207353","Yes","13","No","richmond-republic-draught-house-san-francisco-648","No","Yes","4.4"
"Sizzling Pot King","139 8th Street","San Francisco","CA","94103","sizzling-pot-king-san-francisco-523802","Yes","4","No","sizzling-pot-king-san-francisco-133","Yes","Yes","3.8"
"Mo'z Cafe","5 Masonic Avenue","San Francisco","CA","94118","mo-z-cafe-san-francisco-102530","Yes","541","No","moz-café-san-francisco-58","No","Yes","4.7"
"Gusto Pinsa Romana","1000 Bush Street","San Francisco","CA","94109","gusto-pinsa-romana-san-francisco-489088","Yes","3","No","gusto-pinsa-romana-san-francisco-109","No","Yes","5"
"Naan N Curry","737 3rd Street","San Francisco","CA","94107","naan-n-curry-san-francisco-214790","Yes","224","No",""
"Surisan","505 Beach Street","San Francisco","CA","94133","surisan-san-francisco-161013","Yes","129","No","surisan-san-francisco-503","Yes","No","4.3"
"Wok Shop Cafe","1307 Sutter Street","San Francisco","CA","94109","wok-shop-cafe-san-francisco-189821","Yes","230","No","wok-shop-cafe-san-francisco-139","No","Yes","4.7"
"Jake's Steaks","3301 Buchanan Street","San Francisco","CA","94123","jake-s-steaks-san-francisco-297026","Yes","162","No","jakes-steaks-san-francisco-333","No","Yes","4.6"
"Not Unhealthy","","San Francisco","CA","94124","not-unhealthy-san-francisco-562228","Yes","1","No",""
"Mangal Mediterranean Restaurant","728 Post Street","San Francisco","CA","94109","mangal-mediterranean-restaurant-san-francisco-258618","Yes","108","No","mangal-mediterranean-restaurant-san-francisco-729","No","Yes","4.7"
"Johnny's Doughnuts","392 Fulton Street","San Francisco","CA","94102","johnny-doughnuts-san-francisco-470537","Yes","15","No",""
"Roma Antica","3242 Scott Street","San Francisco","CA","94123","roma-antica-san-francisco-139762","No","182","No","roma-antica-san-francisco-323","No","No","4.7"
"Montecristo Restaurant","3723 Mission Street","San Francisco","CA","94110","montecristo-restaurant-2-san-francisco-207355","Yes","58","No",""
"Sultan's Kebab","3915 24th Street","San Francisco","CA","94114","sultan-s-kebab-san-francisco-258665","Yes","129","No",""
"Mandarin House SF","3452 Mission Street","San Francisco","CA","94110","mandarin-house-sf-san-francisco-207532","Yes","37","No","mandarin-house-sf-san-francisco-340","No","Yes","4.6"
